"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IDGeneInfo"
"pdam_00002442",1893.86144165268,4.98351192656003,0.313270549575757,15.9080128448362,5.57552463751519e-57,1.17169650257382e-52,"pdam_00002442 Meltf: Melanotransferrin (Mus musculus)"
"pdam_00020817",138.993158099388,4.4411549731598,0.293662119793966,15.1233498425869,1.13613007233899e-51,1.19378867351019e-47,"pdam_00020817 drkD: Probable serine/threonine-protein kinase drkD (Dictyostelium discoideum)"
"pdam_00022766",9.82318113287474,19.3060578938983,1.29207127547258,14.9419449688154,1.75769140674537e-50,1.23126283042513e-46,"pdam_00022766 unknown function"
"pdam_00025232",13.2554741575113,18.2142055012485,1.23060982215151,14.8009589825995,1.44408947114175e-49,7.58688505901098e-46,"pdam_00025232 Samd9l: Sterile alpha motif domain-containing protein 9-like (Mus musculus)"
"pdam_00024927",64.7903471317251,23.5562774428312,1.59735898834772,14.7470153012989,3.21575061445206e-49,1.3515799832542e-45,"pdam_00024927 NOTCH2: Neurogenic locus notch homolog protein 2 (Homo sapiens)"
"pdam_00000680",204.488821722493,2.9359046172025,0.211377568215849,13.8893859078012,7.34624453854705e-44,2.5730221496261e-40,"pdam_00000680 unknown function"
"pdam_00022278",269.834836738237,7.40197269209043,0.534163170179279,13.8571378659561,1.15175929803325e-43,3.45774594973838e-40,"pdam_00022278 unknown function"
"pdam_00024204",7.95587222739605,18.2784893464539,1.33421155916818,13.6998433425728,1.01743572444647e-42,2.67267646865532e-39,"pdam_00024204 unknown function"
"pdam_00018452",1107.37983502813,3.09837602868955,0.228220531783383,13.5762370040851,5.54004236764865e-42,1.29359989284596e-38,"pdam_00018452 unknown function"
"pdam_00025497",352.660434672379,2.14459570580034,0.170608494545488,12.570275070498,3.0765163815498e-36,6.46529917582691e-33,"pdam_00025497 unknown function"
"pdam_00016794",68.1731855780695,4.06344696956338,0.342467630214723,11.8652001271351,1.7947282780634e-32,2.70897028707664e-29,"pdam_00016794 nphp3: Nephrocystin-3 (Danio rerio)"
"pdam_00019989",393.774978388816,-2.67026939103913,0.225059302624993,-11.8647368044523,1.80469112629422e-32,2.70897028707664e-29,"pdam_00019989 HMCN1: Hemicentin-1 (Homo sapiens)"
"pdam_00021005",123.805906998094,3.40720795725887,0.286917691262502,11.8752104210319,1.59232887146845e-32,2.70897028707664e-29,"pdam_00021005 unknown function"
"pdam_00024884",13.8642856897851,-21.8758838435686,1.84119995202961,-11.881318929785,1.48013299400206e-32,2.70897028707664e-29,"pdam_00024884 unknown function"
"pdam_00023343",2.79807385729438,18.1212488580537,1.52924168516282,11.8498266388314,2.15636444534818e-32,3.0210665879328e-29,"pdam_00023343 unknown function"
"pdam_00020489",79.2072027751678,4.07460388042866,0.344962848415634,11.811717983959,3.39551410766882e-32,4.45979556079127e-29,"pdam_00020489 FBN1: Fibrillin-1 (Homo sapiens)"
"pdam_00021143",2572.95226489198,4.79640579000819,0.409558723020837,11.7111552517566,1.1174654945861e-31,1.38138455110159e-28,"pdam_00021143 MCM8: DNA helicase MCM8 (Gallus gallus)"
"pdam_00013802",11.3959611808535,20.7352930378309,1.77935024803629,11.6532948252963,2.20755264882364e-31,2.5773177175016e-28,"pdam_00013802 unknown function"
"pdam_00008194",1042.71752967433,1.9035061268664,0.165885443363536,11.4748231566942,1.76538230199444e-30,1.95260574086385e-27,"pdam_00008194 unknown function"
"pdam_00020609",54.4655142002366,-5.13673615282588,0.449714912599575,-11.4222055104488,3.23908078121347e-30,3.40346413086006e-27,"pdam_00020609 unknown function"
"pdam_00022335",794.327179484172,1.28513581989812,0.112779247501442,11.3951444824252,4.42096015694526e-30,4.4241179856288e-27,"pdam_00022335 NLRP3: NACHT%2C LRR and PYD domains-containing protein 3 (Bos taurus)"
"pdam_00015134",1.44688730258057,-17.8039640358161,1.58009720732377,-11.2676384423025,1.89586731700125e-29,1.81098416667187e-26,"pdam_00015134 unknown function"
"pdam_00013803",9.15867600866809,20.6403033510786,1.83995264976571,11.217844847098,3.33293884578654e-29,3.0452917323567e-26,"pdam_00013803 unknown function"
"pdam_00007121",35.9922923806221,-2.84241777281615,0.255159556916768,-11.1397660630965,8.033007523677e-29,7.03390221291968e-26,"pdam_00007121 Uncharacterized skeletal organic matrix protein 5 (Acropora millepora)"
"pdam_00008886",253.015283745699,2.08146157976529,0.187547911696183,11.0982924893194,1.27863322496199e-28,1.07481908890305e-25,"pdam_00008886 CASP7: Caspase-7 (Homo sapiens)"
"pdam_00004359",222.713051771905,3.03466023772378,0.274279212270166,11.0641277281146,1.872760326877e-28,1.51369454882001e-25,"pdam_00004359 MIM1: Myeloid protein 1 (Gallus gallus)"
"pdam_00023590",270.402624080507,-3.58708162701095,0.32532796337977,-11.0260476527915,2.86166775085222e-28,2.22733139941331e-25,"pdam_00023590 ZP domain-containing protein (Acropora millepora)"
"pdam_00021243",72.2676203513357,5.01300364529582,0.458730879897945,10.9279838462392,8.47095850436386e-28,6.35775689175738e-25,"pdam_00021243 unknown function"
