"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IDGeneInfo"
"pdam_00004604",32.6517303348959,3.74626215077753,0.363436778389592,10.3078784909371,6.49185438317061e-25,1.81501428796145e-21,"pdam_00004604 unknown function"
"pdam_00002776",277.851769714737,3.40299808358901,0.248885501281343,13.6729462586984,1.47307841976386e-42,4.94217809830774e-39,"pdam_00002776 unknown function"
"pdam_00002487",21.723105908128,3.14843535507655,0.401156979849015,7.84838732274217,4.21421001498152e-15,5.43795176933193e-12,"pdam_00002487 PPP1R3B: Protein phosphatase 1 regulatory subunit 3B (Bos taurus)"
"pdam_00009540",1063.22884050776,3.14148958078282,0.207772313156213,15.1198662278978,1.19785693290468e-51,5.023512512369e-48,"pdam_00009540 Hlf: Hepatic leukemia factor (Rattus norvegicus)"
"pdam_00017095",58.167844248217,2.9039962772068,0.593345810992307,4.89427282270718,9.86698807630516e-07,0.000295569151750034,"pdam_00017095 Faxc: Failed axon connections homolog (Rattus norvegicus)"
"pdam_00002777",152.060855666577,2.84898915486262,0.149685380902519,19.0331823835088,9.05810397163133e-81,1.51949694124116e-76,"pdam_00002777 Hey: Hairy/enhancer-of-split related with YRPW motif protein (Drosophila melanogaster)"
"pdam_00020672",741.219286256066,2.63772684481051,0.15326698123878,17.2100136865168,2.23378977972488e-66,1.87359117774424e-62,"pdam_00020672 unknown function"
"pdam_00015523",28.7362142141668,2.4986078452181,0.364054957283027,6.86327103980515,6.73013570812076e-12,5.37609650017742e-09,"pdam_00015523 CKMT2: Creatine kinase S-type%2C mitochondrial (Oryctolagus cuniculus)"
"pdam_00017586",317.035355683662,2.18637698610957,0.546313437183084,4.00205603102684,6.27944226102952e-05,0.0073662688062077,"pdam_00017586 Fat3: Protocadherin Fat 3 (Rattus norvegicus)"
"pdam_00007240",45.1923844314969,2.17601828829901,0.35097060207201,6.20000158261844,5.64625929685537e-10,3.26606895533616e-07,"pdam_00007240 SCUBE1: Signal peptide%2C CUB and EGF-like domain-containing protein 1 (Homo sapiens)"
"pdam_00020671",3530.29373242434,2.15155659860647,0.213559142487941,10.0747576223667,7.14367064508034e-24,1.71192964387461e-20,"pdam_00020671 unknown function"
"pdam_00019493",11.8312076270299,2.11889861071265,0.565460701698175,3.74720755014316,0.000178814125914807,0.0148495394169351,"pdam_00019493 unknown function"
"pdam_00010714",600.238779012998,2.08401963714323,0.307205107215179,6.78380530856051,1.17051046057257e-11,8.51553218742934e-09,"pdam_00010714 HEBP2: Heme-binding protein 2 (Homo sapiens)"
"pdam_00008024",38.2479691539185,2.06754612741537,0.292675607996331,7.06429258512481,1.61436276687069e-12,1.59299620083857e-09,"pdam_00008024 unknown function"
"pdam_00016279",37.5057729052787,1.96674548924696,0.504862305861089,3.89560770612988,9.79528212720789e-05,0.00983927291520434,"pdam_00016279 DELTA-alicitoxin-Pse2b (Phyllodiscus semoni)"
"pdam_00025204",80.1413445380926,1.87933216042135,0.431894765195107,4.35136591565856,1.35292047679175e-05,0.00237912450434561,"pdam_00025204 unknown function"
"pdam_00005388",147.693196856843,1.85726366344157,0.200769137173465,9.25074286610543,2.22937786068342e-20,4.15531262366271e-17,"pdam_00005388 Lonrf3: LON peptidase N-terminal domain and RING finger protein 3 (Mus musculus)"
"pdam_00011633",545.197863327454,1.82411132042821,0.535334952095855,3.40742055658191,0.000655799959831299,0.0349403174240417,"pdam_00011633 unknown function"
"pdam_00006473",3133.80104904044,1.80774295054366,0.119436223962251,15.1356338183884,9.42680867541565e-52,5.023512512369e-48,"pdam_00006473 CRY1: Cryptochrome-1 (Sylvia borin)"
"pdam_00012866",110.842074516155,1.75135881694832,0.51409578038794,3.40667806226055,0.000657586411983709,0.0349403174240417,"pdam_00012866 ANK1: Ankyrin-1 (Homo sapiens)"
"pdam_00012640",51.5294089832835,1.73955691026327,0.31738388200371,5.4809239186347,4.23110415036231e-08,1.91829113844129e-05,"pdam_00012640 Tef: Thyrotroph embryonic factor (Rattus norvegicus)"
"pdam_00025647",300.011430792605,1.71142924494843,0.273869235951907,6.24907444970916,4.12892083003195e-10,2.47366596156379e-07,"pdam_00025647 unknown function"
"pdam_00014210",1697.12538581537,1.65310165522503,0.356262474107127,4.64012287392341,3.48202076804743e-06,0.000748857671589687,"pdam_00014210 FIBCD1: Fibrinogen C domain-containing protein 1 (Homo sapiens)"
"pdam_00018888",127.46346824511,1.58759303740439,0.184819556626796,8.58996237400457,8.69978103429319e-18,1.32671660772971e-14,"pdam_00018888 Tef: Thyrotroph embryonic factor (Mus musculus)"
"pdam_00015123",10.3196652889869,1.52946212647407,0.460623845622761,3.32041456604628,0.000898838651186859,0.0416519844576231,"pdam_00015123 unknown function"
"pdam_00006916",4403.825819664,1.51344590732438,0.273652596980681,5.53053734560839,3.19251319008666e-08,1.48762246565844e-05,"pdam_00006916 DMBT1: Deleted in malignant brain tumors 1 protein (Homo sapiens)"
"pdam_00022364",84.5561544389233,1.4616268255677,0.207880469561479,7.0310925728183,2.04922479084381e-12,1.80924978244236e-09,"pdam_00022364 Gnmt: Glycine N-methyltransferase (Rattus norvegicus)"
"pdam_00012299",40.0061560618777,1.45317497702245,0.422540678792417,3.43913627718753,0.00058357338677624,0.0330061214017536,"pdam_00012299 unknown function"
"pdam_00019490",48.1195388548304,1.43250096695533,0.322935396776477,4.43587473301,9.16991629293438e-06,0.00169038841553818,"pdam_00019490 unknown function"
"pdam_00017056",25.9718324038509,1.38952693955226,0.281331090364598,4.93911617714013,7.84774490084887e-07,0.00024429968876719,"pdam_00017056 unknown function"
"pdam_00007534",568.116699127993,1.36955218062093,0.292520219348192,4.68190603600884,2.8421976357435e-06,0.000640067979206715,"pdam_00007534 Npnt: Nephronectin (Mus musculus)"
"pdam_00025227",858.298302137241,1.36391159204684,0.251960576034467,5.4131944509456,6.19101951827533e-08,2.59635881047672e-05,"pdam_00025227 unknown function"
"pdam_00015414",34.2362680190715,1.34726474267413,0.391890914480247,3.43785653837106,0.00058633825202519,0.0330061214017536,"pdam_00015414 unknown function"
"pdam_00003672",12.5494413789169,1.33058125518234,0.38265203695798,3.477261654636,0.00050656320744046,0.0303779262735856,"pdam_00003672 unknown function"
"pdam_00019494",658.890737930783,1.32340416790747,0.354471067108759,3.73346174259525,0.000188865892818239,0.0152832398881362,"pdam_00019494 MFSD12: Major facilitator superfamily domain-containing protein 12 (Homo sapiens)"
"pdam_00007538",499.939870816262,1.31149137928461,0.265553545351074,4.93870785099387,7.86419266374264e-07,0.00024429968876719,"pdam_00007538 Hmcn1: Hemicentin-1 (Mus musculus)"
"pdam_00019491",552.35821052539,1.27304736247319,0.32488484232325,3.91845723970881,8.91175345954569e-05,0.0090705125686211,"pdam_00019491 MFSD12: Major facilitator superfamily domain-containing protein 12 (Homo sapiens)"
"pdam_00009522",533.767162834875,1.26055260176589,0.181477488345915,6.94605492535331,3.75642567925397e-12,3.15070203847426e-09,"pdam_00009522 LCC4: Laccase-4 (Trametes versicolor)"
